"","year","team","game","win","lose","tie","run_scored","run_allowed","batters","tpa","ab","hit","double","triple","hr","bb","ibb","hbp","so","rbi","r","sh","sf","sb","cs","gidp","e"
"191",2007,"Landers",126,73,48,5,603,465,1686,4881,4236,1118,212,20,112,442,22,76,750,568,603,87,40,136,68,86,88
"192",2007,"Lions",126,62,60,4,497,509,1657,4895,4186,1062,191,9,86,511,28,63,678,469,497,95,39,101,46,93,87
"193",2007,"Tigers",126,51,74,1,499,602,1535,4811,4204,1080,198,16,73,428,7,55,630,466,499,78,45,70,44,117,77
"194",2007,"Twins",126,58,62,6,532,600,1631,4933,4322,1160,186,19,78,431,24,48,704,508,532,89,43,130,46,107,94
"195",2007,"Unicorns",126,56,69,1,530,615,1666,4920,4260,1154,178,7,96,443,38,60,653,507,530,125,32,51,36,111,96
"196",2008,"Bears",126,70,56,0,647,542,1678,4975,4344,1198,166,37,68,472,23,78,719,598,647,36,44,189,63,115,92
"197",2008,"Eagles",126,64,62,0,592,595,1630,4882,4275,1086,204,20,120,463,17,57,770,566,592,52,35,97,25,100,61
"198",2008,"Giants",126,69,57,0,624,518,1405,4890,4256,1200,199,22,93,445,13,76,728,590,624,62,51,133,68,97,92
"199",2008,"Heros",126,50,76,0,499,609,1765,4834,4317,1149,190,19,70,396,20,37,713,471,499,51,33,97,57,114,100
"200",2008,"Landers",126,83,43,0,632,461,1588,5003,4332,1222,215,23,89,491,15,62,735,591,632,80,38,170,83,99,102
"201",2008,"Lions",126,65,61,0,557,596,1650,4859,4180,1078,187,15,92,505,15,65,699,520,557,70,38,59,37,115,69
"202",2008,"Tigers",126,57,69,0,503,555,1572,4832,4210,1095,188,28,48,453,14,48,642,465,503,85,35,131,65,97,75
"203",2008,"Twins",126,46,80,0,468,646,1538,4743,4184,1070,164,23,66,364,6,59,765,447,468,85,50,111,45,90,76
"204",2009,"Bears",133,71,60,2,722,662,1670,5265,4591,1286,215,33,120,522,21,86,849,669,722,26,40,129,50,128,83
"205",2009,"Eagles",133,46,84,3,657,805,1700,5273,4620,1241,210,13,164,498,16,81,1017,629,657,43,31,69,20,126,94
"206",2009,"Giants",133,66,67,0,637,669,1533,5053,4420,1223,252,15,121,456,8,68,816,597,637,60,49,106,45,121,96
"207",2009,"Heros",133,60,72,1,683,762,1633,5211,4486,1219,228,20,153,547,22,63,905,650,683,64,48,192,67,116,90
